index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
3107,3107,입금,인터넷뱅킹 대량이체,㈜엠에이피대부,"649,000","649,000",입금이체,회사입금,,,,,,,,,,,,,,㈜엠에이피대부,7,부대피이에엠㈜
3108,3108,입금,인터넷뱅킹 대량이체,㈜엠지건설,"85,000","1,783,000",입금이체,회사입금,,,,,,,,,,,,,,㈜엠지건설,5,설건지엠㈜
3109,3109,입금,인터넷뱅킹 대량이체,㈜엠팩플러스, - , - ,입금이체,회사입금,,,,,,,,,,,,,,㈜엠팩플러스,6,스러플팩엠㈜
3110,3110,입금,인터넷뱅킹 대량이체,㈜엠플래티어,"3,926,000","3,926,000",입금이체,회사입금,,,,,,,,,,,,,,㈜엠플래티어,6,어티래플엠㈜
3111,3111,입금,인터넷뱅킹 대량이체,㈜여기어때컴퍼니, - ,"267,000",입금이체,회사입금,,,,,,,,,,,,,,㈜여기어때컴퍼니,8,니퍼컴때어기여㈜
3112,3112,입금,인터넷뱅킹 대량이체,㈜여명산업, - ,"4,085,000",입금이체,회사입금,,,,,,,,,,,,,,㈜여명산업,5,업산명여㈜
3113,3113,입금,인터넷뱅킹 대량이체,㈜연승어패럴,"3,191,000","3,191,000",입금이체,회사입금,,,,,,,,,,,,,,㈜연승어패럴,6,럴패어승연㈜
3114,3114,입금,인터넷뱅킹 대량이체,㈜연이비앤티,"32,000","4,396,000",입금이체,회사입금,,,,,,,,,,,,,,㈜연이비앤티,6,티앤비이연㈜
3116,3116,입금,인터넷뱅킹 대량이체,㈜영공, - ,"99,000",입금이체,회사입금,,,,,,,,,,,,,,㈜영공,3,공영㈜
3121,3121,입금,인터넷뱅킹 대량이체,㈜영운개발, - ,"2,901,000",입금이체,회사입금,,,,,,,,,,,,,,㈜영운개발,5,발개운영㈜
3122,3122,입금,인터넷뱅킹 대량이체,㈜영창엠디에스, - , - ,입금이체,회사입금,,,,,,,,,,,,,,㈜영창엠디에스,7,스에디엠창영㈜
3123,3123,입금,인터넷뱅킹 대량이체,㈜영테크,"1,000","1,000",입금이체,회사입금,,,,,,,,,,,,,,㈜영테크,4,크테영㈜
3124,3124,입금,인터넷뱅킹 대량이체,㈜예당기업,"40,000","40,000",입금이체,회사입금,,,,,,,,,,,,,,㈜예당기업,5,업기당예㈜
3125,3125,입금,인터넷뱅킹 대량이체,㈜예스아이티,"5,514,000","5,514,000",입금이체,회사입금,,,,,,,,,,,,,,㈜예스아이티,6,티이아스예㈜
3126,3126,입금,인터넷뱅킹 대량이체,㈜오뚜기프렌즈,"526,000","526,000",입금이체,회사입금,,,,,,,,,,,,,,㈜오뚜기프렌즈,7,즈렌프기뚜오㈜
3127,3127,입금,인터넷뱅킹 대량이체,㈜오알피연구소,"80,000","237,000",입금이체,회사입금,,,,,,,,,,,,,,㈜오알피연구소,7,소구연피알오㈜
3128,3128,입금,인터넷뱅킹 대량이체,㈜오에이서비스센타,"1,000,000","1,000,000",입금이체,회사입금,,,,,,,,,,,,,,㈜오에이서비스센타,9,타센스비서이에오㈜
3129,3129,입금,인터넷뱅킹 대량이체,㈜오웬스그룹,"2,438,000","3,093,000",입금이체,회사입금,,,,,,,,,,,,,,㈜오웬스그룹,6,룹그스웬오㈜
3131,3131,입금,인터넷뱅킹 대량이체,㈜오진양행,"50,000","2,533,000",입금이체,회사입금,,,,,,,,,,,,,,㈜오진양행,5,행양진오㈜
